"Indicator","Phase","State","Value","Year","Month"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Iowa",31.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kansas",37.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kentucky",31.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Louisiana",43.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maine",37.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maryland",38.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Massachusetts",29.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Michigan",32.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Minnesota",30.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Mississippi",37.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Missouri",36.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Montana",34.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nebraska",29.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nevada",37.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Hampshire",33.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Jersey",38.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Mexico",25.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New York",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Carolina",36.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Dakota",33.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Ohio",35.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oklahoma",34.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oregon",43.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Pennsylvania",35,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Rhode Island",32.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Carolina",35.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Dakota",28,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Tennessee",31.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Texas",39.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Utah",36,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Vermont",36.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Virginia",33.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Washington",34.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","West Virginia",32.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wisconsin",26.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wyoming",32.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Alabama",27.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Alaska",25.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Arizona",28.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","Arkansas",28.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","California",26.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Colorado",23,"2020","Jun"
"Symptoms of Depressive Disorder","1","Connecticut",28.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Delaware",22.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","District of Columbia",31,"2020","Jun"
"Symptoms of Depressive Disorder","1","Florida",28.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Georgia",27.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","Hawaii",18.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Idaho",23,"2020","Jun"
"Symptoms of Depressive Disorder","1","Illinois",23.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Indiana",23.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Iowa",26.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Kansas",24.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Kentucky",29,"2020","Jun"
"Symptoms of Depressive Disorder","1","Louisiana",35.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Maine",19,"2020","Jun"
"Symptoms of Depressive Disorder","1","Maryland",22,"2020","Jun"
"Symptoms of Depressive Disorder","1","Massachusetts",22.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Michigan",23.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Minnesota",21.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Mississippi",29.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Missouri",25,"2020","Jun"
"Symptoms of Depressive Disorder","1","Montana",21.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Nebraska",22.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Nevada",32.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Hampshire",23,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Jersey",24.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Mexico",29.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","New York",24.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","North Carolina",22.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","North Dakota",25.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Ohio",21.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Oklahoma",33.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Oregon",31,"2020","Jun"
"Symptoms of Depressive Disorder","1","Pennsylvania",27.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Rhode Island",22.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","South Carolina",22.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","South Dakota",21.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Tennessee",26.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Texas",25.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Utah",27.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Vermont",18.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Virginia",26.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","Washington",26.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","West Virginia",30.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Wisconsin",15.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Wyoming",17.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Alabama",33.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Alaska",31.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Arizona",34.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Arkansas",32.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","California",34.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Colorado",26.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Connecticut",34.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Delaware",23.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","District of Columbia",39.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Florida",33.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Georgia",32.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Hawaii",22.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Idaho",28.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Illinois",30.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Indiana",30.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Iowa",32.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Kansas",29.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Kentucky",33.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Louisiana",41.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Maine",24.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Maryland",30.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Massachusetts",27.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Michigan",27.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Minnesota",25,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Mississippi",31.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Missouri",28.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Montana",27.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Nebraska",25,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Nevada",38.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Hampshire",31.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Jersey",30.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Mexico",39,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New York",26.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","North Carolina",29.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","North Dakota",28.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Ohio",27.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Oklahoma",39,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Oregon",37.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Pennsylvania",32.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Rhode Island",28.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","South Carolina",31.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","South Dakota",24.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Tennessee",30.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Texas",32.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Utah",33.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Vermont",25,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Virginia",31.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Washington",30.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","West Virginia",34.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Wisconsin",21.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Wyoming",23.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alabama",38,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alaska",37.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arizona",40.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arkansas",38.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","California",39.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Colorado",31.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Connecticut",39.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Delaware",30.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","District of Columbia",43.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Florida",39.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Georgia",36.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Hawaii",29.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Idaho",31.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Illinois",34.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Indiana",35.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Iowa",37.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kansas",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kentucky",38.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Louisiana",46.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maine",28.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maryland",33.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Massachusetts",33.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Michigan",31.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Minnesota",30.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Mississippi",37.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Missouri",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Montana",30.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nebraska",31.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nevada",45.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Hampshire",34.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Jersey",34.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Mexico",42.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New York",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Carolina",34.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Dakota",33,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Ohio",31.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oklahoma",44.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oregon",42.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Pennsylvania",39.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Rhode Island",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Carolina",34.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Dakota",31,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Tennessee",36.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Texas",36.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Utah",37.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Vermont",27.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Virginia",36.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Washington",34.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","West Virginia",38.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wisconsin",24.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wyoming",28.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Alabama",26.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Alaska",23.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Arizona",32.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","Arkansas",29.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","California",27.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Colorado",26.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Connecticut",24,"2020","Jun"
"Symptoms of Depressive Disorder","1","Delaware",25.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","District of Columbia",27.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Florida",31.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Georgia",31.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Hawaii",28.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Idaho",29.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Illinois",28.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Indiana",26.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Iowa",23.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Kansas",20.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","Kentucky",26.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Louisiana",32.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Maine",23.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Maryland",22.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Massachusetts",24.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Michigan",23.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Minnesota",22.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Mississippi",34.4,"2020","Jun"
"Symptoms of Depressive Disorder","1","Missouri",25.6,"2020","Jun"
"Symptoms of Depressive Disorder","1","Montana",22.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Nebraska",22,"2020","Jun"
"Symptoms of Depressive Disorder","1","Nevada",26.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Hampshire",24.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Jersey",24.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","New Mexico",29.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","New York",23.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","North Carolina",22.7,"2020","Jun"
"Symptoms of Depressive Disorder","1","North Dakota",25,"2020","Jun"
"Symptoms of Depressive Disorder","1","Ohio",23.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Oklahoma",32.8,"2020","Jun"
"Symptoms of Depressive Disorder","1","Oregon",27.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Pennsylvania",26.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Rhode Island",24,"2020","Jun"
"Symptoms of Depressive Disorder","1","South Carolina",28.9,"2020","Jun"
"Symptoms of Depressive Disorder","1","South Dakota",25.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","Tennessee",30.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Texas",28.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Utah",26,"2020","Jun"
"Symptoms of Depressive Disorder","1","Vermont",22.3,"2020","Jun"
"Symptoms of Depressive Disorder","1","Virginia",24.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Washington",31.1,"2020","Jun"
"Symptoms of Depressive Disorder","1","West Virginia",34.5,"2020","Jun"
"Symptoms of Depressive Disorder","1","Wisconsin",19,"2020","Jun"
"Symptoms of Depressive Disorder","1","Wyoming",23.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Alabama",28.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Alaska",32.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Arizona",39.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Arkansas",33.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","California",32.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Colorado",33,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Connecticut",32.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Delaware",27.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","District of Columbia",29.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Florida",37.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Georgia",36.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Hawaii",31.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Idaho",32.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Illinois",33.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Indiana",34.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Iowa",31.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Kansas",28,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Kentucky",33.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Louisiana",40.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Maine",32,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Maryland",29.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Massachusetts",28.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Michigan",29.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Minnesota",25.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Mississippi",36.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Missouri",32.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Montana",25.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Nebraska",27.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Nevada",35,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Hampshire",27.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Jersey",30.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New Mexico",32.2,"2020","Jun"
"Symptoms of Anxiety Disorder","1","New York",30.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","North Carolina",30.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","North Dakota",29.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Ohio",28.8,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Oklahoma",36.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Oregon",34.1,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Pennsylvania",33.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Rhode Island",28.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","South Carolina",35,"2020","Jun"
"Symptoms of Anxiety Disorder","1","South Dakota",31.4,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Tennessee",37.6,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Texas",35.9,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Utah",33,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Vermont",29.7,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Virginia",29.3,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Washington",37,"2020","Jun"
"Symptoms of Anxiety Disorder","1","West Virginia",40.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Wisconsin",25.5,"2020","Jun"
"Symptoms of Anxiety Disorder","1","Wyoming",31.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alabama",35.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alaska",35.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arizona",44.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arkansas",37.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","California",38.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Colorado",37.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Connecticut",35.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Delaware",33.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","District of Columbia",39.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Florida",43.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Georgia",40.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Hawaii",38.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Idaho",40.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Illinois",39.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Indiana",38.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Iowa",34.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kansas",31.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kentucky",38.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Louisiana",44.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maine",35.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maryland",33.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Massachusetts",34.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Michigan",34.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Minnesota",29.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Mississippi",42.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Missouri",35.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Montana",30.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nebraska",30.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nevada",39.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Hampshire",32.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Jersey",33.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Mexico",39.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New York",34.3,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Carolina",33.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Dakota",34,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Ohio",34.6,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oklahoma",43,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oregon",38.9,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Pennsylvania",37.5,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Rhode Island",35.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Carolina",39.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Dakota",35,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Tennessee",42.4,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Texas",40.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Utah",36.7,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Vermont",32.8,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Virginia",33.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Washington",42,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","West Virginia",45.1,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wisconsin",29.2,"2020","Jun"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wyoming",34.2,"2020","Jun"
"Symptoms of Depressive Disorder","1","Alabama",28.6,"2020","Jul"
"Symptoms of Depressive Disorder","1","Alaska",21.5,"2020","Jul"
"Symptoms of Depressive Disorder","1","Arizona",31.3,"2020","Jul"
